index,start_s,duration_s,action
0,0,18.11,"(move r1 c_e1 bay_e1)"
1,18.111,21.182,"(move r1 bay_e1 bay_e2)"
2,39.294,8,"(pick r1 crate2 bay_e2)"
3,47.294,29.036,"(move r1 bay_e2 c_w1)"
4,76.331,23,"(move r1 c_w1 c_sw)"
5,99.332,8,"(move r1 c_sw dock_a)"
6,107.332,8,"(drop r1 crate2 dock_a)"
7,115.332,18.334,"(move r1 dock_a c_s)"
8,133.667,14.364,"(move r1 c_s c_se)"
9,148.032,9.818,"(move r1 c_se bay_e3)"
10,157.85,8,"(pick r1 crate3 bay_e3)"
11,165.85,24.818,"(move r1 bay_e3 bay_e2)"
12,190.669,29.036,"(move r1 bay_e2 c_w1)"
13,219.706,23,"(move r1 c_w1 c_sw)"
14,242.707,8,"(move r1 c_sw dock_a)"
15,250.707,8,"(drop r1 crate3 dock_a)"
16,258.707,8,"(move r1 dock_a c_sw)"
17,266.708,23,"(move r1 c_sw c_w1)"
18,289.709,16.515,"(move r1 c_w1 c_mid)"
19,306.225,25.198,"(move r1 c_mid bay_e1)"
20,331.423,8,"(pick r1 crate1 bay_e1)"
21,339.423,25.198,"(move r1 bay_e1 c_mid)"
22,364.622,16.515,"(move r1 c_mid c_w1)"
23,381.138,23,"(move r1 c_w1 c_sw)"
24,404.139,8,"(move r1 c_sw dock_a)"
25,412.139,8,"(drop r1 crate1 dock_a)"
