index,start_s,duration_s,action
0,0,18.11,"(move r1 c_e1 bay_e1)"
1,0,27.258,"(move r2 c_n c_w3)"
2,18.111,8,"(pick r1 crate1 bay_e1)"
3,26.111,21.182,"(move r1 bay_e1 bay_e2)"
4,27.259,21.182,"(move r2 c_w3 c_w2)"
5,47.294,29.036,"(move r1 bay_e2 c_w1)"
6,48.442,29.602,"(move r2 c_w2 bay_e2)"
7,76.331,23,"(move r1 c_w1 c_sw)"
8,78.045,8,"(pick r2 crate2 bay_e2)"
9,86.045,24.818,"(move r2 bay_e2 bay_e3)"
10,99.332,8,"(move r1 c_sw dock_a)"
11,107.332,8,"(drop r1 crate1 dock_a)"
12,110.864,9.818,"(move r2 bay_e3 c_se)"
13,115.332,18.334,"(move r1 dock_a c_s)"
14,120.683,14.364,"(move r2 c_se c_s)"
15,133.667,14.364,"(move r1 c_s c_se)"
16,135.048,18.334,"(move r2 c_s dock_a)"
17,148.032,9.818,"(move r1 c_se bay_e3)"
18,153.382,8,"(drop r2 crate2 dock_a)"
19,157.85,8,"(pick r1 crate3 bay_e3)"
20,165.85,9.818,"(move r1 bay_e3 c_se)"
21,175.669,14.364,"(move r1 c_se c_s)"
22,190.034,18.334,"(move r1 c_s dock_a)"
23,208.368,8,"(drop r1 crate3 dock_a)"
