wall_time_s,completed_actions,total_actions,running
0.000183517,0,27,0
0.500329,0,27,0
1.0004,0,27,2
1.50029,0,27,3
2.00033,0,27,3
2.50035,0,27,3
3.00039,0,27,3
3.50031,0,27,3
4.00033,0,27,3
4.50046,0,27,3
5.00034,0,27,3
5.50037,0,27,3
6.00041,0,27,3
6.50035,0,27,3
7.00032,0,27,3
7.50043,0,27,3
8.00039,0,27,3
8.50031,0,27,3
9.0003,0,27,3
9.50033,0,27,3
10.0004,0,27,3
10.5003,0,27,3
11.0003,0,27,3
11.5004,0,27,3
12.0003,0,27,3
12.5006,0,27,3
13.0003,0,27,3
13.5003,1,27,3
14.0003,1,27,3
14.5005,1,27,3
15.0003,1,27,3
15.5003,1,27,3
16.0004,1,27,3
16.5006,1,27,3
17.0005,1,27,3
17.5005,1,27,3
18.0003,1,27,3
18.5004,1,27,3
19.0004,1,27,3
19.5003,2,27,3
20.0004,2,27,3
20.5003,2,27,3
21.0004,3,27,3
21.5003,3,27,3
22.0003,3,27,3
22.5003,3,27,3
23.0003,3,27,3
23.5008,3,27,3
24.0004,3,27,3
24.5004,3,27,3
25.0003,3,27,3
25.5004,3,27,3
26.0003,3,27,3
26.5003,3,27,3
27.0003,3,27,3
27.5003,4,27,3
28.0003,4,27,3
28.5004,4,27,3
29.0004,4,27,3
29.5004,6,27,3
30.0003,6,27,3
30.5004,6,27,3
31.0004,6,27,3
31.5004,6,27,3
32.0004,6,27,3
32.5011,6,27,3
33.0003,6,27,3
33.5003,6,27,3
34.0004,6,27,3
34.5005,6,27,3
35.0003,6,27,3
35.5003,6,27,3
36.0003,6,27,3
36.5003,6,27,3
37.0003,6,27,3
37.5003,6,27,3
38.0005,6,27,3
38.5003,7,27,3
39.0003,7,27,3
39.5005,7,27,3
40.0006,7,27,3
40.5005,7,27,3
41.0003,7,27,3
41.5005,7,27,3
42.0003,7,27,3
42.5004,7,27,3
43.0004,7,27,3
43.5004,7,27,3
44.0007,7,27,3
44.5005,7,27,3
45.0003,7,27,3
45.5005,7,27,3
46.0003,7,27,3
46.5003,7,27,3
47.0003,7,27,3
47.5003,7,27,3
48.0003,7,27,3
48.5004,8,27,3
49.0004,8,27,3
49.5003,8,27,3
50.0004,8,27,3
50.5003,8,27,3
51.0004,8,27,3
51.5003,9,27,2
52.0003,9,27,2
52.5004,9,27,2
53.0004,9,27,2
53.5004,10,27,2
54.0004,10,27,2
54.5003,10,27,2
55.0003,10,27,2
55.5004,10,27,2
56.0003,10,27,2
56.5004,10,27,2
57.0003,10,27,2
57.5004,10,27,2
58.0004,10,27,2
58.5003,10,27,2
59.0003,10,27,2
59.5003,10,27,2
60.0004,10,27,2
60.5003,10,27,2
61.0003,10,27,2
61.5003,10,27,2
62.0004,10,27,2
62.5005,10,27,2
63.0006,10,27,2
63.5005,10,27,2
64.0003,10,27,2
64.5003,10,27,2
65.0004,10,27,2
65.5004,10,27,2
66.0004,10,27,2
66.5004,11,27,1
67.0003,11,27,1
67.5004,11,27,1
68.0004,11,27,1
68.5004,12,27,1
69.0004,12,27,1
69.5003,12,27,1
70.0005,12,27,1
70.5004,12,27,1
71.0005,12,27,1
71.5004,12,27,1
72.0004,12,27,1
72.5003,12,27,1
73.0004,12,27,1
73.5003,12,27,1
74.0003,12,27,1
74.5003,12,27,1
75.0004,12,27,1
75.5003,12,27,1
76.0003,12,27,1
76.5003,12,27,1
77.0004,12,27,1
77.5004,12,27,1
78.0005,12,27,1
78.5004,12,27,1
79.0004,12,27,1
79.5005,12,27,1
80.0003,12,27,1
80.5004,12,27,1
81.0004,12,27,1
81.5004,12,27,1
82.0004,12,27,1
82.5003,12,27,1
83.0003,12,27,1
83.5003,12,27,1
84.0004,12,27,1
84.5004,12,27,1
85.0004,12,27,1
85.5005,12,27,1
86.0005,12,27,1
86.5007,12,27,1
87.0004,12,27,1
87.5003,12,27,1
88.0005,12,27,1
88.5003,12,27,1
89.0005,12,27,1
89.5004,12,27,1
90.0004,13,27,2
90.5004,13,27,2
91.0003,13,27,2
91.5004,13,27,2
92.0003,13,27,2
92.5004,13,27,2
93.0005,13,27,2
93.5003,13,27,2
94.0005,13,27,2
94.5003,13,27,2
95.0003,13,27,2
95.5004,13,27,2
96.0069,13,27,2
96.5004,14,27,1
97.0003,15,27,2
97.5003,15,27,2
98.0003,15,27,2
98.5003,15,27,2
99.0003,15,27,2
99.5004,15,27,2
100,15,27,2
100.5,15,27,2
101.001,15,27,2
101.5,15,27,2
102,15,27,2
102.5,15,27,2
103,15,27,2
103.5,15,27,2
104.001,15,27,2
104.501,15,27,2
105,16,27,2
105.501,16,27,2
106,16,27,2
106.5,16,27,2
107,16,27,2
107.5,16,27,2
108,16,27,2
108.5,16,27,2
109,16,27,2
109.5,16,27,2
110,16,27,2
110.5,16,27,2
111,16,27,2
111.5,16,27,2
112,17,27,3
112.5,17,27,3
113,17,27,3
113.5,17,27,3
114,17,27,3
114.5,17,27,3
115,17,27,3
115.5,17,27,3
116,17,27,3
116.5,17,27,3
117,17,27,3
117.5,17,27,3
118,17,27,3
118.5,17,27,3
119,17,27,3
119.5,17,27,3
120,17,27,3
120.5,17,27,3
121,17,27,3
121.5,17,27,3
122,17,27,3
122.5,17,27,3
123.001,17,27,3
123.5,17,27,3
124,18,27,2
124.5,18,27,2
125,18,27,2
125.5,19,27,2
126,19,27,2
126.5,19,27,2
127,19,27,2
127.5,19,27,2
128,19,27,2
128.5,19,27,2
129,19,27,2
129.5,19,27,2
130,20,27,2
130.5,20,27,2
131.001,20,27,2
131.5,20,27,2
132,20,27,2
132.5,20,27,2
133,20,27,2
133.5,21,27,2
134,21,27,2
134.5,21,27,2
135,21,27,2
135.5,21,27,2
136,21,27,2
136.5,21,27,2
137,21,27,2
137.5,21,27,2
138,22,27,2
138.5,22,27,2
139,22,27,2
139.5,22,27,2
140,22,27,2
140.5,22,27,2
141,22,27,2
141.5,22,27,2
142,22,27,2
142.5,22,27,2
143,22,27,2
143.5,22,27,2
144,22,27,2
144.5,22,27,2
145,22,27,2
145.5,22,27,2
146,22,27,2
146.5,22,27,2
147,22,27,2
147.5,22,27,2
148,22,27,2
148.5,22,27,2
149,22,27,2
149.5,22,27,2
150,22,27,2
150.5,22,27,2
151,22,27,2
151.5,22,27,2
152,22,27,2
152.5,22,27,2
153,22,27,2
153.501,22,27,2
154,22,27,2
154.501,22,27,2
155,22,27,2
155.5,22,27,2
156,22,27,2
156.5,22,27,2
157,22,27,2
157.5,22,27,2
158,23,27,1
158.5,23,27,1
159,23,27,1
159.5,23,27,1
160,23,27,1
160.5,23,27,1
161,23,27,1
161.5,23,27,1
162,23,27,1
162.5,23,27,1
163.001,23,27,1
163.5,23,27,1
164,23,27,1
164.5,24,27,1
165,24,27,1
165.5,24,27,1
166,24,27,1
166.5,24,27,1
167,24,27,1
167.5,24,27,1
168,24,27,1
168.5,24,27,1
169,24,27,1
169.5,24,27,1
170,24,27,1
170.5,24,27,1
171,24,27,1
171.5,24,27,1
172,24,27,1
172.5,24,27,1
173,24,27,1
173.5,24,27,1
174.001,24,27,1
174.5,24,27,1
175.001,24,27,1
175.5,24,27,1
176,24,27,1
176.5,24,27,1
177,24,27,1
177.5,24,27,1
178,24,27,1
178.5,24,27,1
179,24,27,1
179.5,24,27,1
180,24,27,1
180.5,24,27,1
181,24,27,1
181.5,24,27,1
182,24,27,1
182.5,24,27,1
183,24,27,1
183.5,24,27,1
184,24,27,1
184.5,24,27,1
185.001,24,27,1
185.5,24,27,1
186,24,27,1
186.5,24,27,1
187,25,27,1
187.5,25,27,1
188,25,27,1
188.5,25,27,1
189,25,27,1
189.5,25,27,1
190,25,27,1
190.501,25,27,1
191,25,27,1
191.5,25,27,1
192,25,27,1
192.5,25,27,1
193,25,27,1
193.5,26,27,0
194,26,27,1
194.5,26,27,1
195,26,27,1
195.5,26,27,1
196,26,27,1
196.501,26,27,1
197.001,26,27,1
197.5,26,27,1
198,26,27,1
198.5,26,27,1
199,26,27,1
199.5,26,27,1
200,26,27,1
200.5,26,27,1
201,26,27,1
201.5,26,27,1
202,26,27,1
202.5,26,27,1
203,26,27,1
203.5,26,27,1
204.001,26,27,1
204.504,26,27,1
205,26,27,1
205.5,27,27,0
206,27,27,0
